"id";"name";"description";"precondition";"expected_result";"status";"scenario";"tag";"example";"parameter";"Lead";"Owner";"Author";"Feature";"Microservice";"Suite"
"39023";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"39057";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"39058";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"39067";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"39068";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"39073";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"39074";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"39581";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"39639";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"39640";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"39785";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"39786";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"39819";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"40768";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"40769";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"40776";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"40777";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"41374";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"41375";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"41376";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"41377";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"41378";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"41413";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"41414";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"41799";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"41800";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"41801";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"41802";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38733";"Test three from manual to automated";"";"";"";"Active";"";"";"";"";"";"egorivanov";"";"Delete";"";"io.qameta.allure.SeverityChecks"
"38725";"dummy test case";"dummy";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38726";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38727";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38728";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38729";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38730";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38731";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38732";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38734";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38735";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38736";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38737";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38738";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38739";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38740";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38741";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38742";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38743";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38744";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38745";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38746";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38747";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38748";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38749";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38750";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38751";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38752";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38753";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38754";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38755";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38756";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38757";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38758";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38759";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38760";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38761";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38762";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38763";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38764";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38765";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38766";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38767";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38768";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
"38769";"dummy test case";"";"";"";"Outdated";"";"";"";"";"";"";"";"Delete";"";""
